10000,from,to,weight
578,1671,1595,3.76
579,8671,1650,24.14
580,4400,1793,13.73
581,5520,2543,26.97
582,2597,5540,3.04
583,2645,8331,2.68
584,2230,3348,5.39
585,9369,4848,10.29
586,4459,6977,17.49
587,6013,7166,4.53
588,2,6050,0.82
589,6087,8809,6.44
590,7600,2935,2.53
591,1120,7688,5.66
592,5342,5314,7.95
593,406,5782,4.63
594,8666,382,1.41
595,8111,8810,3.04
596,9482,6273,4.16
597,7988,6266,18.49
598,82,4765,4.27
599,9528,6275,0.5
600,8429,2564,3.49
601,3033,4822,4.16
602,2996,9690,8.66
603,3328,2747,7.97
604,4204,7475,3.77
605,1023,9514,5.45
606,9322,6213,14.18
607,3387,1789,11.46
608,5449,2097,14.88
609,8266,3350,7.36
610,7873,7729,4.57
611,9519,1608,10.92
612,6615,7714,5.62
613,9482,2172,14.95
614,7980,2504,2.57
615,3432,7281,17.81
616,1311,574,17.58
617,3109,5669,17.7
618,4420,3362,2.01
619,9123,686,17.99
620,6980,4969,8.77
621,7666,4895,12.2
622,7930,4825,18.28
623,9211,9245,9.22
624,4470,3547,10.41
625,7215,6692,8.83
626,4594,5930,5.06
627,2868,1034,0.23
628,6869,4891,0.59
629,2211,3044,7.38
630,6257,1078,6.39
631,4080,5117,14.64
632,9557,2385,8.15
633,757,8263,11.34
634,3017,1596,12.3
635,5991,6121,2.73
636,7793,5292,0.8
637,3352,201,5.97
638,6973,3123,0.66
639,4733,8753,6.29
640,2084,8039,5.62
641,6747,180,8.37
642,495,4963,14.37
643,2811,7810,9.64
644,2135,991,5.82
645,6414,8278,3.09
646,938,1646,9.2
647,5257,8240,23.04
648,4959,7421,4.35
649,56,6109,22.81
650,4985,1540,12.08
651,7551,3073,11.3
652,4507,4322,11.8
653,6759,4897,26.2
654,3432,5944,8.44
655,1607,3040,2.04
656,3840,1532,2.82
657,5206,1660,17.51
658,9249,3175,14.36
659,952,1264,10.75
660,1449,5221,1.14
661,2901,2463,9.35
662,3429,5304,3.1
663,4188,6501,8.21
664,3587,8352,3.8
665,2637,9203,1.67
666,3862,9167,16.22
667,3582,8119,3.86
668,1349,7811,4.36
669,8181,9097,2.15
670,747,9448,9.61
671,6094,724,5.61
672,7385,5483,4.94
673,5306,9364,14.3
674,7560,2842,4.04
675,1340,6252,18.98
676,6439,1213,27.89
677,3314,7766,3.91
678,4110,9106,6.57
679,4522,6616,4.96
680,6680,4446,14.4
681,9529,5100,1.61
682,3758,5280,10.12
683,4899,6537,16.94
684,4549,1645,3.13
685,898,7858,17.33
686,2560,1755,12.3
687,8227,1609,2.68
688,4277,71,1.98
689,8322,387,0.32
690,4292,7991,10.69
691,1038,9069,6.56
692,6906,4989,13.97
693,5332,8081,7.68
694,1467,9666,11.16
695,3955,775,14.92
696,1412,8596,15.11
697,9543,2978,11.39
698,9792,8012,0.32
699,3837,5481,1.24
700,9234,6809,6.54
701,218,627,17.48
702,1931,1750,11.54
703,6836,5708,23.65
704,9398,1917,6.88
705,5925,7854,13.4
706,5190,6665,7.66
707,3858,9038,7.76
708,3453,9422,8.33
709,7604,3659,10.14
710,7616,3957,14.1
711,4269,129,1.87
712,2792,1205,14.15
713,6920,5649,4.12
714,4648,3779,9.95
715,9579,626,15.5
716,5252,8970,5.33
717,690,9623,14.28
718,3980,6402,9.45
719,3135,244,11.55
720,7436,4031,0.32
721,1137,7451,6.62
722,9610,1950,11.38
723,1489,417,6.06
724,1247,3829,4.43
725,1846,6338,14.78
726,6413,1368,7.26
727,5048,8142,2.23
728,4603,9695,5.6
729,2334,9688,23.81
730,5078,6566,7.74
731,650,1106,11.69
732,6893,9751,17.84
733,7051,1405,7.0
734,4156,8466,6.21
735,6168,9603,16.19
736,144,228,9.63
737,5587,2416,11.84
738,7395,3747,6.97
739,6586,2921,15.52
740,1235,9934,1.42
741,8615,6380,14.5
742,5365,1286,3.99
743,3185,3654,6.23
744,197,2658,14.02
745,370,2257,20.28
746,8942,6321,13.07
747,7283,6139,15.44
748,6648,4440,1.0
749,8373,2886,4.54
750,2503,9979,1.81
751,9205,6150,3.53
752,9876,9768,2.24
753,8995,8053,3.13
754,9588,1426,9.46
755,213,468,1.9
756,1626,224,3.18
757,3133,8062,0.22
758,5975,7931,11.86
759,4094,849,14.31
760,4611,9003,3.03
761,830,8335,10.03
762,8274,2039,6.7
763,8373,6564,7.09
764,1036,4415,17.42
765,9965,7211,25.82
766,5709,4126,6.67
767,2297,6206,1.81
768,9796,7409,3.33
769,181,5689,3.56
770,4531,3164,16.67
771,3735,3971,0.84
772,4425,8284,7.65
773,8761,6187,14.55
774,5064,3789,0.5
775,5308,1712,8.14
776,1285,9086,2.67
777,9119,7642,1.7
778,1288,7096,5.39
779,1221,8906,5.17
780,9966,6323,1.24
781,4493,5267,3.08
782,1365,6773,7.15
783,1838,4159,7.65
784,4081,9718,5.41
785,6923,3944,16.73
786,4216,3713,5.84
787,3932,7292,5.27
788,4069,6344,6.17
789,1969,1880,4.4
790,8492,4956,2.59
791,4896,7754,10.82
792,8560,9736,4.92
793,5359,2908,8.23
794,7243,834,10.9
795,6906,8854,17.4
796,4211,3020,0.38
797,9637,4008,18.97
798,5807,8607,6.78
799,4934,4037,1.28
800,5308,3984,12.45
801,3185,5734,18.15
802,263,1513,4.44
803,2961,1889,1.56
804,1594,7990,0.08
805,1793,3977,10.7
806,1914,1792,2.18
807,571,8658,4.31
808,2459,5915,4.33
809,1432,3133,2.06
810,8608,5023,21.01
811,7038,2574,10.17
812,6549,3906,18.61
813,5559,4620,0.92
814,871,2085,0.95
815,6141,3489,8.99
816,9110,554,2.77
817,9610,6878,5.8
818,5243,6579,0.58
819,1818,5239,9.06
820,4264,8982,2.68
821,2561,446,4.6
822,8522,9672,8.63
823,8614,317,10.09
824,3756,1127,3.29
825,7710,5227,2.67
826,9389,1731,10.59
827,2615,8238,10.01
828,3940,6396,14.12
829,5050,8013,0.65
830,2952,5964,2.85
831,4254,2982,10.34
832,9912,8979,17.57
833,3880,8197,5.05
834,9136,8235,26.13
835,152,515,17.15
836,6490,1793,13.66
837,8974,5642,0.31
838,4008,9155,7.97
839,1028,9504,6.29
840,9231,8776,8.67
841,7137,5899,4.31
842,2619,1928,9.77
843,4609,9966,4.49
844,739,2160,5.44
845,3799,4762,10.6
846,2976,9696,12.63
847,8579,6678,1.41
848,7466,1853,6.7
849,9837,8351,5.98
850,1467,4950,1.54
851,9149,497,11.62
852,3351,3926,10.03
853,4728,4636,14.02
854,6092,9223,0.06
855,9705,6048,3.55
856,5013,5840,7.16
857,3865,3732,0.83
858,74,5518,1.05
859,4834,7399,12.09
860,5145,2597,5.69
861,5136,6931,4.0
862,4224,248,10.06
863,8312,8865,5.26
864,3884,632,6.73
865,2373,6062,5.62
866,1852,2585,9.14
867,5714,9194,10.89
868,4099,6379,0.25
869,9569,3695,0.07
870,6896,6722,3.89
871,1760,1956,8.12
872,2598,7945,13.04
873,9422,4705,6.41
874,3628,5590,13.65
875,8045,7267,6.08
876,4443,6463,1.66
877,7957,36,0.65
878,9787,9375,0.62
879,3791,7060,19.42
880,438,6689,2.25
881,8947,6387,7.18
882,5792,9607,14.91
883,7821,3254,6.15
884,3588,3183,9.26
885,1990,3325,12.57
886,2376,6946,12.0
887,2160,4493,10.53
888,8220,2615,15.83
889,3555,28,0.2
890,4973,2920,21.19
891,1752,2682,3.36
892,2581,4152,4.47
893,5236,1800,8.97
894,3137,2587,2.04
895,8560,8462,14.11
896,2170,3342,7.02
897,2608,559,22.74
898,1593,2670,16.22
899,1018,4526,1.45
900,769,6828,0.52
901,5054,9806,15.21
902,9698,6536,19.58
903,7248,9330,4.01
904,3162,3232,1.92
905,7071,4322,13.89
906,6026,2883,6.82
907,9145,7636,4.76
908,8722,7415,2.1
909,8203,193,24.93
910,5692,3309,6.71
911,2647,9815,22.27
912,2979,4684,8.48
913,9345,9491,10.73
914,9450,8638,1.54
915,9974,4564,3.91
916,7413,1367,3.3
917,3874,5573,9.13
918,9967,4596,1.88
919,9932,9383,8.25
920,9941,6900,0.6
921,8907,3433,1.14
922,4,3649,8.07
923,7549,866,16.51
924,4827,1189,0.63
925,133,9425,5.08
926,8566,7511,11.48
927,4462,3307,6.73
928,8829,1489,10.93
929,347,1913,10.47
930,5815,3463,3.3
931,393,1700,16.0
932,5952,9625,1.49
933,2013,5977,3.34
934,3856,5910,0.49
935,6617,6739,1.16
936,4284,5306,16.52
937,8977,6697,16.69
938,4687,3692,7.69
939,5770,7831,6.11
940,3432,2362,20.39
941,6537,991,0.63
942,2608,6249,18.54
943,2702,1744,1.47
944,2054,8105,2.4
945,5846,1606,7.94
946,6624,2983,10.12
947,6437,4694,19.89
948,786,4820,2.89
949,9366,3773,12.78
950,9369,8588,6.15
951,4419,92,4.04
952,4339,640,18.8
953,1455,2383,9.29
954,7655,2782,21.46
955,4277,7619,6.78
956,8542,4970,11.99
957,9703,5389,18.56
958,8477,5948,11.44
959,7656,762,5.22
960,3852,9390,0.43
961,1363,4853,2.82
962,8097,8765,6.66
963,8574,7443,10.45
964,8081,5986,18.76
965,6855,7395,5.75
966,5502,6946,14.68
967,2819,207,9.0
968,5045,223,9.95
969,8439,3795,17.67
970,9290,2020,18.2
971,9645,5081,6.1
972,5191,9813,17.07
973,3350,5296,15.81
974,1751,8144,17.68
975,9606,3371,21.19
976,6524,1412,6.04
977,3982,4505,14.19
978,6459,3252,8.2
979,1543,5317,7.91
980,1150,2515,7.69
981,2136,496,11.24
982,7471,90,5.3
983,9221,9551,5.62
984,261,6708,11.5
985,1863,6004,8.32
986,8841,6950,3.91
987,6760,1504,1.41
988,2589,9412,4.99
989,3402,2340,2.84
990,3196,8238,0.44
991,5528,2977,1.74
992,1945,1294,3.19
993,6256,9233,10.18
994,3383,3129,10.97
995,1303,3871,1.42
996,9533,9969,3.23
997,8037,2489,9.4
998,5009,32,2.59
999,847,5596,5.5
1000,7087,1297,7.03
1001,1723,5730,1.33
1002,9326,9763,2.78
1003,9068,5972,0.63
1004,3956,376,13.2
1005,3856,5905,6.16
1006,7976,5095,5.23
1007,4257,7182,23.6
1008,3616,5804,2.55
1009,4402,7587,4.65
1010,4564,3151,1.65
1011,869,7652,2.15
1012,4281,2915,5.73
1013,9097,2982,5.57
1014,5597,8914,7.11
1015,3095,1274,4.01
1016,5281,6561,12.39
1017,1702,181,4.17
1018,9705,3456,6.08
1019,1600,1130,21.68
1020,2440,7263,6.9
1021,7082,8733,14.63
1022,1582,4798,7.4
1023,8236,4790,15.02
1024,5927,3029,1.55
1025,5565,9500,15.11
1026,6225,8827,1.17
1027,8005,2149,3.23
1028,1225,1448,16.84
1029,4087,2234,14.02
1030,9440,8548,4.94
1031,4620,295,7.97
1032,5219,1998,7.53
1033,2204,8210,26.77
1034,4834,4983,6.16
1035,4397,9372,1.57
1036,9150,8448,14.7
1037,2744,2450,14.94
1038,871,9908,5.47
1039,2323,44,2.59
1040,9903,9481,14.24
1041,1271,4736,9.59
1042,7177,2042,14.44
1043,6593,2191,30.4
1044,3108,7826,3.99
1045,3634,7127,3.13
1046,1438,8225,5.94
1047,5434,6992,9.7
1048,4542,3332,6.62
1049,7045,9243,13.8
1050,7167,838,11.72
1051,6211,1885,12.48
1052,7181,9562,3.63
1053,9434,4150,16.78
1054,4665,806,0.34
1055,8135,9496,10.29
1056,8797,2409,0.18
1057,7972,1660,6.61
1058,4622,7294,3.67
1059,5988,4300,16.14
1060,1550,2382,21.93
1061,4509,7904,3.82
1062,5173,7221,3.52
1063,1309,3332,3.35
1064,6122,8550,15.04
1065,479,4293,10.93
1066,6495,3094,3.39
1067,1322,6139,10.22
1068,8392,4901,9.89
1069,2567,1976,2.52
1070,6143,3645,0.35
1071,7468,4572,1.94
1072,1550,2798,7.77
1073,5323,6844,7.65
1074,3735,8928,8.99
1075,4814,8224,5.85
1076,133,2202,2.97
1077,6839,826,5.28
1078,4419,3033,20.09
1079,6132,7459,7.09
1080,3743,1577,3.48
1081,853,6851,12.78
1082,8103,2663,4.47
1083,8560,6508,13.49
1084,9287,6210,4.84
1085,8058,2389,13.3
1086,9888,7797,0.24
1087,9142,750,16.29
1088,6127,5484,2.14
1089,6781,3440,2.43
1090,9413,3890,2.8
1091,5920,225,3.51
1092,7021,6195,0.06
1093,7436,6044,4.31
1094,9623,4054,8.52
1095,9808,5285,7.9
1096,8435,4294,8.11
1097,316,307,6.18
1098,6143,6846,2.0
1099,3284,4974,4.22
1100,6208,8132,14.45
1101,869,154,9.32
1102,8524,8491,5.5
1103,285,2749,13.33
1104,2644,5798,4.34
1105,2171,591,4.34
1106,5675,7244,0.44
1107,9385,4264,10.8
1108,9568,7935,3.31
1109,8371,8353,5.23
1110,9975,8114,4.28
1111,652,391,0.75
1112,4981,8030,7.48
1113,6765,9399,2.16
1114,9212,4620,3.19
1115,3880,5656,13.47
1116,1331,757,21.75
1117,4229,5120,16.36
1118,4738,3362,12.03
1119,3276,4935,4.83
1120,6206,7689,4.67
1121,8260,9181,1.64
1122,4366,5416,8.27
1123,7010,7787,5.77
1124,9889,9056,1.93
1125,9892,6944,10.06
1126,7971,2826,10.96
1127,2812,8699,3.77
1128,4882,6054,1.27
1129,876,9425,1.09
1130,4694,1868,1.04
1131,7534,5459,2.87
1132,8221,5722,3.77
1133,4188,2899,17.98
1134,5014,3381,7.94
1135,7391,1466,2.6
1136,4948,5633,7.59
1137,9424,6194,1.04
1138,7790,3755,0.22
1139,3516,6821,8.15
1140,5702,4135,11.36
1141,1619,3605,0.51
1142,2769,311,1.78
1143,7570,7101,13.26
1144,2003,3339,2.48
1145,9964,5271,8.06
1146,8695,7430,1.13
1147,244,8287,4.51
1148,2899,7342,2.23
1149,5635,9221,2.89
1150,8907,2675,1.72
1151,7899,4658,11.06
1152,8714,8235,10.98
1153,5158,6354,3.25
1154,3104,2417,15.57
1155,6851,4520,11.3
1156,4628,9730,10.31
1157,7249,3044,0.36
1158,6199,3720,4.64
1159,4805,8957,3.22
1160,7945,8641,16.6
1161,1833,789,10.92
1162,1788,7776,4.7
1163,5769,2023,3.19
1164,7934,2547,13.61
1165,4773,138,21.66
1166,3572,2251,11.86
1167,239,4100,1.27
1168,2830,2708,8.98
1169,6650,6250,9.79
