1000,from,to,weight
333,608,982,0.32
334,405,269,5.52
335,535,680,7.52
336,796,457,8.2
337,24,958,17.33
338,877,500,2.97
339,493,179,7.46
340,679,795,1.25
341,402,431,2.72
342,864,178,16.88
343,819,56,10.65
344,986,171,5.84
345,336,437,6.22
346,286,947,1.02
347,460,581,18.14
348,555,305,1.44
349,97,380,16.91
350,384,233,2.3
351,422,962,7.92
352,59,402,4.3
353,908,149,4.66
354,166,328,11.8
355,612,962,4.96
356,570,264,5.03
357,70,553,13.61
358,867,299,15.44
359,243,739,1.71
360,420,357,16.78
361,728,409,11.97
362,615,60,10.35
363,119,879,0.13
364,588,963,6.9
365,584,579,10.15
366,680,251,5.4
367,836,944,8.44
368,142,884,23.26
369,680,458,0.44
370,733,55,9.22
371,534,976,12.46
372,664,164,15.54
373,336,657,11.45
374,615,715,10.74
375,400,89,4.91
376,265,805,14.39
377,674,314,0.56
378,830,331,18.45
379,522,81,7.69
380,906,565,13.5
381,945,919,4.65
382,987,203,3.06
383,525,971,10.23
384,349,475,13.48
385,795,694,0.73
386,176,961,7.06
387,167,4,14.2
388,639,393,0.98
389,374,729,0.85
390,794,804,8.96
391,804,325,7.02
392,287,185,23.83
393,866,86,4.43
394,186,103,1.73
395,48,673,5.27
396,436,593,0.46
397,285,97,6.55
398,301,559,13.36
399,713,498,2.5
400,426,593,10.6
401,494,454,7.37
402,187,344,11.8
403,309,956,1.46
404,987,106,2.88
405,295,892,5.55
406,963,39,16.38
407,569,511,8.19
408,544,971,3.99
409,467,819,12.2
410,44,326,13.4
411,710,616,8.09
412,505,50,0.39
413,789,480,1.93
414,912,250,6.93
415,866,83,9.23
416,748,270,7.26
417,652,585,2.61
418,472,8,3.76
419,296,969,3.87
420,344,486,5.05
421,139,399,6.2
422,737,151,17.21
423,274,287,10.53
424,380,248,11.74
425,333,724,5.57
426,495,949,0.96
427,703,732,7.26
428,575,7,5.82
429,920,432,4.15
430,121,928,9.76
431,156,49,5.58
432,669,405,9.85
433,383,914,1.32
434,868,806,1.76
435,105,213,2.04
436,825,191,10.68
437,144,939,0.93
438,244,200,2.26
439,899,818,2.37
440,352,924,4.21
441,308,83,1.03
442,931,498,7.69
443,203,420,4.2
444,720,9,8.42
445,479,732,14.75
446,379,378,20.31
447,864,921,4.51
448,278,790,3.25
449,665,282,1.69
450,383,916,3.83
451,840,194,0.48
452,572,786,12.75
453,949,39,0.64
454,597,980,4.96
455,647,853,10.63
456,23,730,9.89
457,143,728,7.66
458,246,343,7.05
459,427,885,2.38
460,981,900,12.46
461,367,657,0.92
462,467,897,7.34
463,603,705,8.94
464,565,561,8.92
465,979,575,4.14
466,582,590,3.66
467,77,162,2.32
468,243,189,5.23
469,888,509,16.24
470,23,245,6.02
471,302,422,11.07
472,610,179,3.7
473,842,895,5.77
474,323,221,16.98
475,562,882,2.68
476,461,468,3.39
477,928,6,3.12
478,439,552,0.02
479,660,609,2.52
480,741,832,2.69
481,709,193,1.79
482,908,2,4.49
483,752,331,7.99
484,317,811,15.42
485,685,113,23.95
486,24,148,12.52
487,499,811,18.7
488,76,749,2.24
489,38,790,16.81
490,660,846,9.17
491,459,827,15.92
492,873,948,3.11
493,934,514,10.62
494,528,525,9.08
495,88,814,1.39
496,173,812,3.29
497,954,507,3.5
498,580,65,2.37
499,916,783,17.04
500,437,349,11.18
501,484,364,5.02
502,396,244,7.95
503,105,580,1.31
504,361,733,22.9
505,314,547,1.65
506,242,871,0.13
507,517,468,13.99
508,789,0,4.83
509,653,75,10.73
510,143,175,16.66
511,512,470,3.94
512,33,624,0.18
513,244,713,4.7
514,828,440,12.43
515,714,845,5.12
516,589,88,2.47
517,831,821,13.08
518,938,533,2.67
519,779,250,2.2
520,987,660,29.28
521,425,954,7.42
522,128,382,8.27
523,972,695,23.71
524,218,1,4.28
525,481,132,9.72
526,951,103,10.26
527,651,677,1.1
528,349,694,9.9
529,653,497,5.14
530,598,573,9.36
531,512,358,0.25
532,689,256,1.85
533,418,818,0.67
534,30,131,7.45
535,612,593,5.46
536,690,627,20.31
537,839,753,13.51
538,965,664,23.11
539,671,673,3.86
540,776,962,1.83
541,404,260,1.24
542,797,371,1.92
543,702,196,4.93
544,739,203,17.62
545,95,843,2.1
546,659,720,15.49
547,878,655,1.45
548,129,73,12.51
549,741,695,4.68
550,596,88,9.88
551,113,711,18.51
552,492,999,12.71
553,200,797,10.34
554,761,950,0.66
555,313,160,1.48
556,871,669,5.49
557,667,629,4.32
558,509,695,12.78
559,65,866,1.91
560,449,838,2.64
561,149,449,11.15
562,797,596,2.4
563,40,930,1.38
564,697,358,3.34
565,275,683,23.76
566,544,442,15.18
567,124,472,9.55
568,118,27,1.19
569,606,455,5.66
570,879,606,5.19
571,231,407,1.45
572,771,638,3.06
573,721,353,8.9
574,177,610,3.65
575,843,206,1.18
576,971,881,2.77
577,719,890,6.69
578,268,420,24.14
579,777,670,3.09
580,800,872,2.79
581,426,868,12.8
582,126,817,9.13
583,952,931,0.45
584,618,879,1.25
585,730,208,5.78
586,911,209,3.28
587,408,440,2.0
588,822,391,0.82
589,508,763,3.51
590,800,211,11.51
591,961,857,0.89
592,698,375,7.52
593,756,127,9.06
594,778,653,27.31
595,754,811,12.09
596,643,172,8.58
597,339,714,1.08
598,105,87,8.68
599,190,152,16.02
600,461,650,6.86
601,52,214,4.91
602,300,825,8.4
603,968,96,12.49
604,222,338,5.93
605,361,639,3.35
606,335,928,9.56
607,106,518,1.7
608,206,479,0.23
609,740,427,2.07
610,105,979,21.35
611,984,704,3.34
612,463,997,7.11
613,561,511,5.71
614,75,674,7.86
615,724,181,13.06
616,480,586,3.87
617,264,24,5.26
618,322,724,9.01
619,69,897,5.22
620,874,643,10.47
621,627,856,6.89
622,778,248,10.19
623,271,241,16.21
624,317,18,6.39
625,919,768,4.56
626,105,941,2.92
627,179,704,4.17
628,112,624,14.25
629,896,834,3.19
630,553,971,10.51
631,58,566,4.35
632,767,362,7.34
633,387,468,3.46
634,823,630,4.01
635,979,141,17.45
636,530,211,4.18
637,332,810,10.25
638,385,95,12.7
639,496,737,3.8
640,719,200,12.4
641,758,159,7.68
642,6,554,0.05
643,548,584,6.39
644,854,604,1.57
645,786,783,18.55
646,493,356,3.51
647,289,196,9.95
648,771,0,5.12
649,303,928,8.64
650,214,508,15.45
651,681,550,5.67
652,261,172,18.62
653,370,262,1.12
654,667,497,1.74
655,948,426,9.45
656,263,738,13.77
657,271,615,7.32
658,227,194,6.17
659,174,360,2.84
660,30,898,4.5
661,205,358,1.1
662,82,824,2.08
663,5,822,3.84
664,833,245,12.08
665,123,554,10.87
666,8,378,13.23
667,77,641,6.88
668,947,714,3.88
669,214,399,1.7
670,816,795,7.2
671,565,87,23.5
672,934,740,18.67
673,883,87,19.57
674,790,514,5.2
675,654,690,13.58
676,226,702,8.99
677,950,645,2.77
678,85,404,8.11
679,456,705,1.33
680,832,972,11.17
681,690,40,4.37
682,763,337,26.7
683,812,997,3.43
684,472,388,10.63
685,325,195,19.53
686,727,776,4.09
687,479,571,8.17
688,765,346,8.08
689,566,668,6.21
690,696,488,6.34
691,567,461,7.76
692,803,577,0.19
693,474,271,14.18
694,368,443,4.86
695,680,743,2.16
696,668,571,3.44
697,398,460,1.54
698,441,873,10.34
699,724,603,18.25
700,907,193,13.54
701,621,744,3.58
702,545,767,6.81
703,151,92,6.66
704,230,682,3.73
705,5,738,3.69
706,250,126,0.23
707,616,543,4.61
708,390,25,3.48
709,209,420,6.22
710,151,397,16.8
711,10,51,14.31
712,819,185,3.02
713,619,914,8.04
714,289,448,13.21
715,855,354,2.9
716,268,133,2.81
717,885,180,0.61
718,808,476,2.83
719,678,489,5.04
720,7,869,0.1
721,318,606,14.51
722,474,559,2.45
723,307,259,0.78
724,740,587,3.09
725,505,794,6.87
726,914,125,1.6
727,427,240,23.69
728,150,586,9.39
729,307,159,25.37
730,160,229,12.66
731,813,641,10.91
732,916,549,0.69
733,990,370,8.16
734,366,101,6.26
735,993,114,11.68
736,148,305,7.47
737,599,331,4.29
738,6,758,1.8
739,761,310,7.21
740,613,990,7.68
741,745,685,0.42
742,154,110,5.44
743,177,122,2.77
744,774,54,9.54
745,20,198,2.41
746,717,832,15.78
747,38,698,0.25
748,291,619,16.75
749,656,852,2.78
750,25,420,15.41
751,204,827,17.6
752,268,990,4.44
753,655,552,5.19
754,477,896,8.12
755,357,712,3.26
756,100,667,5.97
757,629,210,4.56
758,473,743,4.14
759,127,996,0.85
760,709,176,10.86
761,162,970,11.72
762,854,312,14.12
763,746,367,14.1
764,916,748,3.38
765,776,140,18.64
766,102,964,20.48
767,88,402,6.47
768,653,512,9.49
769,857,845,8.88
770,25,850,3.22
771,377,589,7.32
772,881,770,0.13
773,627,176,8.14
774,10,289,2.32
775,555,936,0.28
776,413,903,0.21
777,527,630,2.79
778,594,779,10.78
779,865,313,1.06
780,306,49,13.73
781,174,357,5.47
782,155,726,18.39
783,376,193,8.48
784,851,161,0.59
785,411,260,1.17
786,242,790,3.34
787,37,149,16.04
788,225,88,0.88
789,474,713,0.96
790,943,597,10.3
791,528,594,3.92
792,437,417,10.47
793,855,358,5.97
794,537,731,10.27
795,538,540,13.96
796,881,456,15.91
797,339,467,1.99
798,753,364,6.67
799,482,777,5.16
800,91,44,7.45
801,449,755,13.51
802,547,299,6.6
803,881,900,8.5
804,868,211,11.8
805,587,289,1.8
806,82,672,6.59
807,521,508,7.32
808,926,468,11.84
809,115,608,5.66
810,399,734,6.27
811,482,668,13.55
812,783,111,3.31
813,484,812,18.34
814,902,951,4.0
815,843,596,9.05
816,400,286,3.97
817,118,10,2.14
818,33,597,9.52
819,335,233,0.84
820,295,525,13.25
821,11,886,2.83
822,303,393,8.16
823,442,765,12.83
824,341,54,6.17
825,692,711,6.57
826,791,98,3.9
827,164,436,17.75
828,359,555,9.2
829,928,645,6.11
830,892,331,12.0
831,178,258,3.08
832,430,323,1.57
833,493,533,8.0
834,493,181,6.1
835,229,565,10.44
836,627,647,7.5
837,972,577,9.35
838,669,5,10.79
839,405,85,3.91
840,356,821,9.44
841,305,818,8.85
842,864,583,11.1
843,301,322,0.81
844,620,878,2.15
845,980,805,1.72
846,492,43,14.78
847,663,461,7.19
848,970,559,12.32
849,453,422,10.75
850,278,249,13.48
851,650,840,2.13
852,2,713,11.02
853,571,110,2.13
854,844,837,3.25
855,346,468,3.0
856,778,828,0.52
857,978,922,3.57
858,543,253,16.2
859,131,104,5.96
860,885,579,8.9
861,268,774,0.63
862,523,534,2.78
863,211,268,1.67
864,191,768,3.66
865,298,90,5.33
866,717,820,0.76
867,773,184,1.88
868,913,569,10.03
869,696,187,4.46
870,714,860,5.65
871,1,623,0.35
872,102,632,9.86
873,434,943,6.31
874,152,868,7.96
875,135,526,5.3
876,727,984,8.41
877,422,620,6.08
878,316,775,0.41
879,989,69,11.48
880,378,113,6.2
881,535,846,14.68
882,91,387,5.82
883,523,283,27.84
884,920,657,1.1
885,519,304,19.17
886,201,359,5.41
887,103,598,7.15
888,549,121,0.24
889,672,942,8.66
890,533,368,4.97
891,797,373,5.18
892,716,57,5.54
893,646,924,3.43
894,230,442,2.26
895,149,99,6.26
896,234,312,6.99
897,34,328,7.07
898,578,490,8.75
899,347,882,10.81
900,741,885,6.7
901,172,713,1.57
902,366,943,0.25
903,968,410,4.84
904,783,165,13.16
905,306,620,16.97
906,218,888,18.26
907,750,198,5.12
908,56,768,2.29
909,400,910,1.32
910,827,230,8.75
911,883,919,11.46
912,118,431,7.91
913,240,162,26.43
914,258,110,9.07
915,456,590,6.57
916,262,800,2.02
917,578,562,0.57
918,843,1,5.4
919,610,149,13.96
920,532,633,21.13
921,214,189,22.76
922,896,702,9.3
923,426,653,1.93
924,271,895,19.13
925,925,419,10.51
926,326,954,7.28
927,838,922,2.39
928,821,189,13.75
929,471,766,7.15
930,562,716,4.11
931,652,525,1.05
932,523,374,3.11
933,106,718,12.65
934,506,83,6.78
935,716,427,1.27
936,193,88,5.93
937,59,291,21.41
938,298,78,4.61
939,616,713,0.55
940,721,307,8.93
941,362,791,15.34
942,872,423,2.65
943,316,908,10.95
944,386,867,0.61
945,763,346,7.3
946,659,698,0.37
947,230,66,6.26
948,895,5,7.95
949,914,960,8.12
950,833,813,23.33
951,853,334,6.23
952,880,995,9.14
953,919,728,12.01
954,923,415,13.47
955,511,8,4.33
956,512,794,8.86
957,637,114,10.55
958,185,867,18.37
959,707,658,6.04
960,191,983,5.82
961,906,174,5.86
962,105,864,9.37
963,174,963,0.21
964,378,756,13.99
965,103,926,8.85
966,799,805,0.84
967,308,397,7.92
968,110,382,6.91
969,441,706,11.27
970,860,745,6.66
971,612,793,0.31
972,566,160,1.35
973,724,710,9.75
974,952,246,3.14
975,202,108,20.63
976,303,32,22.89
977,539,107,0.14
978,304,277,3.79
979,758,240,18.14
980,761,397,6.26
981,777,328,3.57
982,976,399,8.55
983,820,410,12.07
984,940,480,4.42
985,101,769,3.21
986,334,690,2.02
987,410,360,0.93
988,240,162,2.54
989,148,516,13.61
990,227,644,15.51
991,380,47,6.92
992,3,370,8.26
993,544,63,14.44
994,47,591,15.48
995,210,527,9.37
996,227,191,1.36
997,251,923,0.82
998,160,672,3.02
999,492,290,6.44
